age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
23,MALE,INNER_CITY,18766.9,YES,0,YES,YES,NO,YES,YES
30,MALE,RURAL,9915.67,NO,1,NO,YES,NO,YES,NO
45,FEMALE,RURAL,21881.6,NO,0,YES,YES,YES,NO,YES
50,MALE,TOWN,46794.4,YES,2,NO,YES,NO,YES,NO
41,FEMALE,INNER_CITY,20721.1,YES,0,YES,YES,YES,NO,NO
20,MALE,INNER_CITY,16688.5,NO,1,NO,YES,YES,YES,NO
46,FEMALE,RURAL,39068,YES,0,YES,YES,NO,YES,NO
50,FEMALE,INNER_CITY,27740.8,YES,1,YES,YES,NO,YES,YES
42,MALE,INNER_CITY,33584.9,NO,3,YES,YES,NO,NO,NO
57,FEMALE,TOWN,19621.3,YES,1,YES,NO,YES,NO,YES
63,FEMALE,INNER_CITY,47630.9,YES,0,NO,YES,NO,YES,NO
26,FEMALE,INNER_CITY,22378.5,NO,0,YES,NO,YES,YES,YES
62,FEMALE,RURAL,20837.1,YES,0,YES,YES,YES,NO,NO
26,FEMALE,SUBURBAN,23912.7,YES,0,YES,YES,YES,NO,NO
19,MALE,RURAL,8005.13,YES,1,NO,YES,YES,NO,NO
44,MALE,TOWN,34961.7,YES,1,NO,NO,NO,YES,NO
32,FEMALE,INNER_CITY,24627.6,YES,0,YES,YES,YES,YES,NO
56,FEMALE,RURAL,47315.3,YES,3,YES,YES,NO,NO,YES
26,MALE,TOWN,13196.2,YES,3,NO,YES,YES,NO,YES
43,FEMALE,TOWN,20528.9,NO,3,YES,NO,YES,NO,NO
40,MALE,TOWN,37227.8,NO,1,YES,YES,YES,NO,NO
29,FEMALE,INNER_CITY,21022.6,YES,2,NO,NO,YES,NO,NO
54,MALE,RURAL,49986.7,YES,1,YES,YES,YES,NO,YES
51,MALE,RURAL,44199.9,YES,0,YES,YES,YES,YES,NO
24,FEMALE,INNER_CITY,20050.2,YES,3,YES,YES,NO,NO,NO
20,FEMALE,SUBURBAN,13013.9,NO,2,NO,YES,NO,YES,NO
48,FEMALE,TOWN,39465.8,YES,0,YES,NO,NO,NO,NO
52,FEMALE,RURAL,39387.7,YES,0,NO,YES,YES,YES,NO
58,MALE,RURAL,41114.2,YES,2,YES,YES,YES,YES,YES
25,FEMALE,INNER_CITY,11171,NO,0,YES,YES,YES,NO,NO
32,MALE,RURAL,23805.5,NO,0,YES,YES,NO,NO,NO
31,FEMALE,TOWN,20979.5,YES,2,NO,YES,YES,NO,YES
18,MALE,SUBURBAN,10523.3,YES,0,NO,NO,NO,YES,NO
35,MALE,SUBURBAN,12403,YES,1,NO,YES,YES,NO,NO
47,FEMALE,INNER_CITY,21935.7,YES,0,YES,YES,NO,NO,NO
63,MALE,INNER_CITY,54182.5,YES,0,NO,YES,YES,NO,YES
47,FEMALE,TOWN,20628,YES,0,YES,NO,YES,NO,NO
33,MALE,INNER_CITY,28589.4,YES,0,NO,YES,YES,YES,NO
28,FEMALE,TOWN,26201.6,NO,2,YES,NO,YES,NO,NO
36,FEMALE,TOWN,18038,YES,3,NO,NO,YES,YES,NO
44,MALE,SUBURBAN,26553.5,NO,1,NO,NO,NO,NO,NO
45,FEMALE,INNER_CITY,26956,NO,0,NO,YES,NO,YES,NO
66,MALE,INNER_CITY,43720.4,NO,1,NO,YES,NO,YES,YES
60,FEMALE,INNER_CITY,27372.7,YES,1,YES,NO,YES,NO,NO
52,FEMALE,TOWN,16700.2,NO,1,YES,YES,YES,YES,YES
61,MALE,INNER_CITY,26527.9,NO,1,NO,NO,YES,NO,NO
65,FEMALE,INNER_CITY,58002.2,NO,0,NO,YES,YES,NO,NO
21,FEMALE,INNER_CITY,14827.2,NO,2,YES,NO,YES,NO,NO
25,MALE,TOWN,21366,YES,0,NO,YES,YES,NO,NO
62,MALE,SUBURBAN,40099.6,YES,0,YES,YES,YES,NO,NO
28,MALE,TOWN,16376.2,YES,0,NO,YES,YES,YES,NO
61,MALE,RURAL,40315.6,YES,2,YES,YES,YES,NO,YES
40,FEMALE,INNER_CITY,32089.9,NO,0,NO,YES,YES,NO,YES
18,MALE,TOWN,5960.4,YES,0,NO,YES,YES,NO,NO
34,MALE,SUBURBAN,17221.3,NO,0,NO,YES,YES,YES,NO
58,MALE,SUBURBAN,37681.4,NO,0,YES,NO,YES,YES,NO
38,MALE,INNER_CITY,30943.7,NO,3,YES,YES,YES,NO,NO
32,FEMALE,SUBURBAN,15623.5,NO,3,YES,NO,YES,NO,NO
54,FEMALE,INNER_CITY,27775.7,NO,2,NO,NO,YES,NO,NO
31,MALE,INNER_CITY,23633.3,NO,1,YES,NO,YES,YES,NO
64,MALE,RURAL,60176.1,YES,3,NO,YES,YES,NO,YES
24,MALE,INNER_CITY,7782.19,YES,2,YES,YES,YES,NO,NO
51,FEMALE,RURAL,16940.2,YES,1,NO,YES,YES,NO,YES
46,FEMALE,TOWN,41406.5,YES,1,NO,YES,YES,NO,NO
30,MALE,INNER_CITY,20664.5,YES,2,YES,YES,YES,YES,NO
44,FEMALE,INNER_CITY,31833.7,NO,2,NO,YES,YES,NO,NO
22,FEMALE,TOWN,14452.2,YES,3,NO,YES,YES,NO,NO
46,MALE,TOWN,32101.4,NO,3,NO,YES,YES,NO,NO
28,MALE,SUBURBAN,9785.21,NO,2,YES,YES,YES,YES,NO
28,MALE,INNER_CITY,17846.2,NO,0,NO,YES,YES,NO,NO
23,MALE,INNER_CITY,18233.1,NO,0,YES,NO,NO,NO,YES
28,MALE,TOWN,17737.2,YES,0,YES,YES,NO,NO,NO
26,FEMALE,INNER_CITY,23925.6,NO,2,YES,NO,YES,NO,NO
42,MALE,SUBURBAN,23174.9,YES,1,YES,NO,NO,YES,YES
32,FEMALE,RURAL,25623.2,YES,0,YES,NO,NO,NO,NO
54,FEMALE,INNER_CITY,48375.5,YES,2,YES,YES,YES,NO,NO
47,FEMALE,TOWN,31936.6,YES,0,NO,YES,YES,NO,NO
64,MALE,TOWN,29107.5,NO,0,YES,NO,YES,NO,NO
57,MALE,INNER_CITY,39576.3,NO,3,YES,YES,YES,NO,NO
48,FEMALE,SUBURBAN,44960,YES,0,NO,YES,YES,YES,NO
44,MALE,TOWN,23790.4,NO,1,NO,YES,YES,NO,NO
44,MALE,RURAL,39202.2,NO,1,YES,YES,YES,YES,YES
67,MALE,INNER_CITY,35004.9,NO,3,NO,NO,YES,YES,NO
37,MALE,SUBURBAN,17629.3,YES,1,NO,YES,YES,YES,NO
58,FEMALE,INNER_CITY,25383.6,YES,0,YES,YES,YES,NO,NO
18,FEMALE,TOWN,15800.6,NO,0,YES,NO,YES,NO,YES
27,MALE,TOWN,11679.3,YES,3,YES,NO,NO,NO,NO
18,FEMALE,INNER_CITY,6531.43,NO,3,YES,YES,YES,NO,YES
60,MALE,TOWN,28461.3,YES,2,YES,YES,NO,NO,NO
45,FEMALE,TOWN,38496.9,NO,2,YES,NO,YES,NO,YES
56,FEMALE,TOWN,50209.7,NO,2,YES,YES,YES,NO,NO
26,MALE,INNER_CITY,23058.8,YES,0,YES,YES,YES,NO,YES
38,MALE,INNER_CITY,25194,YES,0,YES,YES,YES,NO,NO
39,FEMALE,TOWN,28611.6,NO,2,YES,YES,NO,NO,NO
34,MALE,RURAL,23653.6,YES,0,NO,YES,YES,NO,NO
28,FEMALE,SUBURBAN,22212.1,YES,3,NO,NO,YES,YES,NO
65,FEMALE,SUBURBAN,47289.2,NO,1,YES,YES,YES,NO,YES
37,MALE,INNER_CITY,31979.9,NO,1,NO,YES,NO,YES,YES
36,MALE,INNER_CITY,31532.5,YES,0,NO,YES,YES,NO,NO
62,FEMALE,INNER_CITY,49016.7,YES,0,YES,YES,YES,YES,NO
60,MALE,INNER_CITY,20752.5,YES,0,YES,YES,NO,NO,NO
52,FEMALE,TOWN,33043.5,NO,2,NO,NO,NO,NO,NO
66,MALE,TOWN,61476.8,YES,0,NO,YES,NO,YES,NO
60,MALE,INNER_CITY,19849,NO,1,NO,YES,YES,NO,NO
31,FEMALE,INNER_CITY,16678,YES,3,YES,NO,YES,YES,NO
19,MALE,INNER_CITY,7624.11,YES,1,YES,NO,NO,NO,NO
65,FEMALE,TOWN,38858.5,YES,0,NO,NO,YES,YES,YES
58,FEMALE,SUBURBAN,40491.4,NO,0,YES,YES,YES,NO,NO
60,MALE,SUBURBAN,24170.9,YES,2,NO,YES,YES,NO,NO
20,FEMALE,INNER_CITY,18824.1,NO,0,NO,NO,YES,YES,NO
67,MALE,INNER_CITY,39137,NO,0,YES,YES,NO,NO,YES
47,MALE,SUBURBAN,35140.1,YES,2,YES,NO,NO,NO,YES
22,FEMALE,TOWN,18367.2,YES,3,YES,NO,YES,YES,NO
57,MALE,INNER_CITY,37548,NO,2,NO,NO,YES,NO,NO
35,MALE,INNER_CITY,19918,YES,2,YES,NO,NO,YES,NO
60,FEMALE,SUBURBAN,30498.4,NO,3,NO,YES,YES,YES,NO
47,MALE,INNER_CITY,36766,NO,0,NO,NO,YES,NO,NO
54,FEMALE,TOWN,44982.1,NO,0,YES,YES,NO,NO,NO
42,MALE,INNER_CITY,17692.4,YES,2,NO,YES,YES,YES,NO
42,FEMALE,TOWN,35712.8,NO,2,NO,NO,YES,YES,NO
60,FEMALE,TOWN,27558.6,NO,0,YES,YES,NO,NO,YES
52,MALE,INNER_CITY,41761.6,YES,0,NO,YES,YES,NO,NO
33,MALE,SUBURBAN,12990.3,NO,0,YES,NO,YES,NO,NO
65,FEMALE,TOWN,23904,NO,3,YES,NO,NO,YES,NO
18,FEMALE,SUBURBAN,14550.5,YES,0,NO,YES,YES,YES,NO
33,FEMALE,TOWN,18213.4,NO,3,YES,YES,NO,NO,NO
27,MALE,INNER_CITY,10294,YES,0,NO,NO,YES,NO,NO
25,FEMALE,TOWN,13563.9,YES,3,YES,YES,YES,YES,NO
31,FEMALE,INNER_CITY,23025.4,YES,0,NO,NO,YES,YES,NO
46,FEMALE,INNER_CITY,17049.3,NO,1,NO,YES,NO,NO,NO
56,FEMALE,INNER_CITY,41523,NO,0,NO,YES,YES,NO,YES
28,MALE,INNER_CITY,23505.8,NO,3,NO,NO,YES,NO,NO
18,MALE,INNER_CITY,13376.6,YES,0,YES,NO,YES,NO,YES
57,FEMALE,TOWN,40659.8,YES,0,YES,YES,YES,NO,YES
44,FEMALE,INNER_CITY,39740.5,YES,2,YES,YES,YES,YES,YES
66,FEMALE,INNER_CITY,46738.7,YES,2,NO,YES,NO,YES,NO
54,MALE,SUBURBAN,51468.3,YES,0,NO,YES,YES,NO,NO
41,FEMALE,TOWN,38284.7,YES,1,YES,NO,YES,NO,YES
19,FEMALE,INNER_CITY,14782.7,YES,0,NO,NO,YES,YES,NO
26,MALE,SUBURBAN,12170.8,NO,0,YES,NO,YES,NO,NO
54,MALE,SUBURBAN,30076,YES,3,NO,YES,YES,YES,NO
66,MALE,SUBURBAN,21489.5,NO,0,NO,YES,YES,YES,NO
18,FEMALE,SUBURBAN,12388.1,NO,3,YES,NO,YES,NO,NO
40,FEMALE,INNER_CITY,23988.3,YES,0,NO,YES,YES,YES,NO
41,FEMALE,SUBURBAN,15064.3,NO,0,YES,YES,YES,NO,NO
57,MALE,INNER_CITY,18732.8,YES,0,YES,NO,NO,YES,YES
23,MALE,TOWN,21769.8,YES,3,YES,YES,YES,NO,NO
22,FEMALE,TOWN,16426.2,YES,1,YES,YES,YES,YES,NO
56,FEMALE,RURAL,37699.6,NO,1,NO,YES,NO,NO,YES
52,FEMALE,INNER_CITY,42415.8,YES,0,NO,YES,NO,NO,NO
41,FEMALE,SUBURBAN,18093.4,YES,1,NO,NO,YES,YES,NO
39,FEMALE,INNER_CITY,14413.9,NO,1,NO,NO,YES,NO,NO
56,FEMALE,SUBURBAN,48758.6,NO,2,NO,YES,YES,NO,NO
45,FEMALE,INNER_CITY,16385.4,YES,1,YES,NO,NO,YES,YES
65,FEMALE,INNER_CITY,47199,YES,1,NO,YES,YES,NO,YES
25,FEMALE,INNER_CITY,8507.04,NO,2,YES,NO,YES,NO,NO
43,FEMALE,TOWN,24613.9,YES,0,NO,YES,YES,NO,NO
67,FEMALE,INNER_CITY,28117.7,YES,2,NO,YES,NO,YES,NO
29,MALE,TOWN,25178.6,YES,0,NO,YES,YES,NO,NO
31,FEMALE,INNER_CITY,24609.7,YES,0,NO,NO,YES,YES,NO
35,FEMALE,TOWN,23301.3,YES,0,NO,YES,YES,YES,NO
51,FEMALE,TOWN,37733.3,YES,0,YES,NO,NO,YES,YES
48,MALE,INNER_CITY,38635.6,YES,2,YES,NO,YES,NO,NO
57,MALE,INNER_CITY,49351.3,YES,0,YES,YES,YES,YES,YES
29,MALE,TOWN,11343.5,NO,2,NO,YES,NO,YES,NO
41,FEMALE,INNER_CITY,28299.5,YES,2,NO,YES,NO,NO,YES
40,FEMALE,RURAL,15233.1,NO,0,YES,YES,YES,YES,YES
29,FEMALE,SUBURBAN,25076.7,NO,1,NO,YES,YES,NO,NO
41,MALE,TOWN,21122.6,NO,0,YES,YES,YES,YES,NO
29,MALE,TOWN,16976.9,YES,2,YES,YES,YES,YES,NO
48,FEMALE,INNER_CITY,44138.8,YES,0,YES,YES,YES,YES,NO
60,FEMALE,INNER_CITY,25296.9,YES,2,YES,NO,NO,YES,NO
43,MALE,TOWN,28741.6,NO,0,NO,NO,NO,NO,YES
41,FEMALE,INNER_CITY,13692.8,YES,2,NO,YES,YES,YES,NO
34,MALE,INNER_CITY,26610.1,YES,2,NO,YES,YES,NO,NO
47,MALE,TOWN,15237,NO,2,YES,NO,NO,NO,NO
32,MALE,TOWN,17162.3,YES,3,YES,NO,YES,YES,NO
50,FEMALE,RURAL,21496.9,YES,0,YES,NO,YES,NO,NO
23,FEMALE,TOWN,8841.67,NO,2,YES,NO,YES,YES,NO
60,MALE,TOWN,22221.4,YES,0,YES,YES,YES,YES,NO
38,FEMALE,TOWN,14954.5,YES,0,YES,YES,YES,YES,NO
35,MALE,INNER_CITY,15850.8,YES,1,YES,NO,NO,YES,YES
33,MALE,TOWN,15228.7,YES,1,NO,YES,YES,NO,NO
66,FEMALE,INNER_CITY,60635.6,YES,1,YES,YES,YES,YES,YES
20,FEMALE,INNER_CITY,12662.1,YES,0,NO,NO,YES,NO,NO
19,MALE,TOWN,15866,NO,3,YES,YES,YES,NO,YES
30,FEMALE,SUBURBAN,16583.8,NO,3,YES,YES,YES,NO,NO
34,FEMALE,INNER_CITY,18001.5,YES,2,YES,YES,YES,NO,NO
50,FEMALE,SUBURBAN,31404,NO,3,NO,YES,YES,NO,NO
53,FEMALE,TOWN,29062.8,YES,3,YES,YES,YES,NO,NO
39,MALE,INNER_CITY,34140.8,YES,2,NO,YES,YES,NO,YES
44,FEMALE,SUBURBAN,25353.3,YES,0,YES,YES,YES,YES,NO
34,FEMALE,INNER_CITY,18095.9,YES,0,YES,YES,YES,NO,NO
34,MALE,RURAL,13699,YES,1,YES,YES,YES,NO,YES
29,MALE,TOWN,18054.5,YES,2,NO,YES,NO,NO,NO
66,MALE,INNER_CITY,58792.6,NO,1,YES,YES,YES,YES,NO
19,MALE,INNER_CITY,17906.8,NO,2,YES,YES,NO,NO,NO
54,MALE,RURAL,29348.8,NO,0,NO,NO,YES,YES,YES
42,FEMALE,TOWN,20552.5,YES,0,YES,YES,YES,NO,NO
34,MALE,INNER_CITY,25843.1,NO,2,NO,YES,YES,NO,NO
